,X.1,X,Date,AveragePrice,Total.Volume,X4046,X4225,X4770,Total.Bags,Small.Bags,Large.Bags,XLarge.Bags,type,year,region,Markets,Revenue
41,41,40,3/22/15,1.12,46346.85,2141.83,34313.56,141.8,9749.66,9252.6,497.06,0,conventional,2015,Albany,Northeast,51908.472
42,42,41,3/15/15,1.11,43045.79,2128.26,30447.17,99.67,10370.69,9989.59,381.1,0,conventional,2015,Albany,Northeast,47780.8269
43,43,42,3/8/15,1.07,40507.36,795.68,30370.64,159.05,9181.99,8827.55,354.44,0,conventional,2015,Albany,Northeast,43342.8752
44,44,43,3/1/15,0.99,55595.74,629.46,45633.34,181.49,9151.45,8986.06,165.39,0,conventional,2015,Albany,Northeast,55039.7826
45,45,44,2/22/15,1.07,45675.05,1088.38,35056.13,151,9379.54,9000.16,379.38,0,conventional,2015,Albany,Northeast,48872.3035
46,46,45,2/15/15,1.06,41567.62,986.66,30045.51,222.42,10313.03,9979.87,333.16,0,conventional,2015,Albany,Northeast,44061.6772
47,47,46,2/8/15,0.99,51253.97,1357.37,39111.81,163.25,10621.54,10113.1,508.44,0,conventional,2015,Albany,Northeast,50741.4303
48,48,47,2/1/15,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0,conventional,2015,Albany,Northeast,70164.864
49,49,48,1/25/15,1.06,45147.5,941.38,33196.16,164.14,10845.82,10103.35,742.47,0,conventional,2015,Albany,Northeast,47856.35
50,50,49,1/18/15,1.17,44511.28,914.14,31540.32,135.77,11921.05,11651.09,269.96,0,conventional,2015,Albany,Northeast,52078.1976
51,51,50,1/11/15,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0,conventional,2015,Albany,Northeast,51081.8992
52,52,51,1/4/15,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0,conventional,2015,Albany,Northeast,49865.4016
53,53,0,12/27/15,0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta,Southeast,382239.4851
54,54,1,12/20/15,1.08,331377.53,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0,conventional,2015,Atlanta,Southeast,357887.7324
55,55,2,12/13/15,0.96,417772.47,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,conventional,2015,Atlanta,Southeast,401061.5712
56,56,3,12/6/15,1.07,357636.82,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,conventional,2015,Atlanta,Southeast,382671.3974
57,57,4,11/29/15,0.99,333280.79,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,conventional,2015,Atlanta,Southeast,329947.9821
58,58,5,11/22/15,1,356414.57,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0,conventional,2015,Atlanta,Southeast,356414.57
59,59,6,11/15/15,1.13,339860.68,263915.78,28442.45,455.97,47046.48,33656.42,13390.06,0,conventional,2015,Atlanta,Southeast,384042.5684
60,60,7,11/8/15,1.12,334041.6,250441.38,34483.33,488.24,48628.65,35662.93,12941.12,24.6,conventional,2015,Atlanta,Southeast,374126.592
61,61,8,11/1/15,0.99,419088.74,290457.5,62980.07,252.79,65398.38,39460.77,25929.39,8.22,conventional,2015,Atlanta,Southeast,414897.8526
62,62,9,10/25/15,1.09,358478.08,236814.29,64607.97,304.36,56751.46,31826.88,24924.58,0,conventional,2015,Atlanta,Southeast,390741.1072
63,63,10,10/18/15,1.09,349072.48,228710.28,59731.79,291.22,60339.19,36884.35,23454.84,0,conventional,2015,Atlanta,Southeast,380489.0032
64,64,11,10/11/15,0.95,433874.46,255933.32,91047.32,599.71,86294.11,41159.96,45134.15,0,conventional,2015,Atlanta,Southeast,412180.737
65,65,12,10/4/15,0.96,418682.26,265797.09,92780.33,644.43,59460.41,14875.64,44584.77,0,conventional,2015,Atlanta,Southeast,401934.9696
66,66,13,9/27/15,1.07,370321.17,262107.44,61870.63,680.8,45662.3,20533.87,25125.65,2.78,conventional,2015,Atlanta,Southeast,396243.6519
67,67,14,9/20/15,0.93,516432.6,346118.51,82762.72,1349.41,86201.96,33698.43,52442.25,61.28,conventional,2015,Atlanta,Southeast,480282.318
68,68,15,9/13/15,1.07,417232.18,278048.26,62485.97,714.93,75983.02,46290.32,29678.76,13.94,conventional,2015,Atlanta,Southeast,446438.4326
69,69,16,9/6/15,0.97,472136.53,303113.24,73675.85,911.25,94436.19,49833.55,44549.67,52.97,conventional,2015,Atlanta,Southeast,457972.4341
70,70,17,8/30/15,1.15,382972.72,275818.27,44839.12,1034.09,61281.24,47138.07,14112.5,30.67,conventional,2015,Atlanta,Southeast,440418.628
71,71,18,8/23/15,1.12,379054.29,274462.42,46223.69,950.09,57418.09,45534.11,11883.98,0,conventional,2015,Atlanta,Southeast,424540.8048
72,72,19,8/16/15,1.09,465213.81,362579.51,41992.44,1424.96,59216.9,45068.25,14148.65,0,conventional,2015,Atlanta,Southeast,507083.0529
73,73,20,8/9/15,1.01,503791.72,385027.71,47040.07,4251.74,67472.2,45820.45,21568.48,83.27,conventional,2015,Atlanta,Southeast,508829.6372
74,74,21,8/2/15,1.15,405898.44,306587.86,41906.78,3515.48,53888.32,42126.47,11720.3,41.55,conventional,2015,Atlanta,Southeast,466783.206
75,75,22,7/26/15,1.08,437377.75,335372.02,44087.07,708,57210.66,45114.22,12096.44,0,conventional,2015,Atlanta,Southeast,472367.97
76,76,23,7/19/15,0.97,557212.99,446100.17,47838.42,1982.03,61292.37,45099.87,16192.5,0,conventional,2015,Atlanta,Southeast,540496.6003
77,77,24,7/12/15,1.14,407204.88,310080.33,37953.24,867.46,58303.85,46023.59,12280.26,0,conventional,2015,Atlanta,Southeast,464213.5632
78,78,25,7/5/15,1.01,562462.33,436377.91,54675.38,848.55,70560.49,50684.74,19851,24.75,conventional,2015,Atlanta,Southeast,568086.9533
79,79,26,6/28/15,1.13,435210.71,331353.43,37698.53,816.56,65342.19,52099.76,13108.03,134.4,conventional,2015,Atlanta,Southeast,491788.1023
80,80,27,6/21/15,0.99,554763.76,449311.47,30231.78,678.4,74542.11,55484.76,19010.81,46.54,conventional,2015,Atlanta,Southeast,549216.1224
81,81,28,6/14/15,1.1,465804.78,386370.5,17701.12,471.72,61261.44,48612.13,12578.28,71.03,conventional,2015,Atlanta,Southeast,512385.258
82,82,29,6/7/15,0.99,551009.05,455565.92,22414.17,738.68,72290.28,50954.84,21329.99,5.45,conventional,2015,Atlanta,Southeast,545498.9595
83,83,30,5/31/15,1.1,454702,382900.99,19543.18,522.81,51735.02,40505.16,11199.95,29.91,conventional,2015,Atlanta,Southeast,500172.2
84,84,31,5/24/15,0.96,623212.04,538126.94,27284.43,1260.8,56539.87,33867,22651.15,21.72,conventional,2015,Atlanta,Southeast,598283.5584
85,85,32,5/17/15,1.11,451250.7,386400.89,18618.84,838.68,45392.29,33710.2,11682.09,0,conventional,2015,Atlanta,Southeast,500888.277
86,86,33,5/10/15,1.1,480071.18,413452.96,18860.63,1089.33,46668.26,34108.44,12559.82,0,conventional,2015,Atlanta,Southeast,528078.298
87,87,34,5/3/15,1,634213.1,538403.48,28568.26,1059.73,66181.63,32520.82,33660.81,0,conventional,2015,Atlanta,Southeast,634213.1
88,88,35,4/26/15,1.12,448596.76,387676.81,18366.33,1041.78,41511.84,31315.29,10196.55,0,conventional,2015,Atlanta,Southeast,502428.3712
89,89,36,4/19/15,1.12,430966.34,368709.65,18040.85,873.24,43342.6,29661.72,13680.88,0,conventional,2015,Atlanta,Southeast,482682.3008
90,90,37,4/12/15,0.99,451101.89,377578.48,22419.95,219.14,50884.32,25833.07,25051.25,0,conventional,2015,Atlanta,Southeast,446590.8711
91,91,38,4/5/15,1.04,383139.49,318473.47,19254.39,374.51,45037.12,28612.48,16289.92,134.72,conventional,2015,Atlanta,Southeast,398465.0696
92,92,39,3/29/15,1.11,365722.14,305028.89,16651.99,261.01,43780.25,29313.92,14466.33,0,conventional,2015,Atlanta,Southeast,405951.5754
93,93,40,3/22/15,1,479590.62,393591.03,23419.6,304.89,62275.1,40495.12,21766.54,13.44,conventional,2015,Atlanta,Southeast,479590.62
94,94,41,3/15/15,1.12,399566.22,336172.08,16508.21,310.7,46575.23,34911.7,11625.94,37.59,conventional,2015,Atlanta,Southeast,447514.1664
95,95,42,3/8/15,1.1,420826.32,361559.22,15788.71,236.97,43241.42,33847.33,9394.09,0,conventional,2015,Atlanta,Southeast,462908.952
96,96,43,3/1/15,0.99,512532.44,441544,21183.7,347.78,49456.96,32180.9,17273.38,2.68,conventional,2015,Atlanta,Southeast,507407.1156
97,97,44,2/22/15,1.1,431308.56,369316.29,18324.76,237.47,43430.04,33423.74,10006.3,0,conventional,2015,Atlanta,Southeast,474439.416
98,98,45,2/15/15,1.06,427391.28,364446.77,17420.41,638.18,44885.92,26727.66,18158.26,0,conventional,2015,Atlanta,Southeast,453034.7568
99,99,46,2/8/15,1.03,433883.91,377256.38,17162.5,524.85,38940.18,18044.41,20895.77,0,conventional,2015,Atlanta,Southeast,446900.4273
100,100,47,2/1/15,0.96,636771.37,553198.56,31583.38,294.94,51694.49,10553.73,41140.76,0,conventional,2015,Atlanta,Southeast,611300.5152
101,101,48,1/25/15,1.1,449332.85,393408.17,18718.27,594.25,36612.16,13176.39,23435.77,0,conventional,2015,Atlanta,Southeast,494266.135
102,102,49,1/18/15,1.11,431490.99,372236.92,18701.9,511.69,40040.48,16782.71,23257.77,0,conventional,2015,Atlanta,Southeast,478954.9989
103,103,50,1/11/15,1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0,conventional,2015,Atlanta,Southeast,441272.4192
104,104,51,1/4/15,1,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0,conventional,2015,Atlanta,Southeast,435021.49
105,105,0,12/27/15,1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,conventional,2015,BaltimoreWashington,MidSouth,698278.698
106,106,1,12/20/15,1.11,642682.4,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0,conventional,2015,BaltimoreWashington,MidSouth,713377.464
107,107,2,12/13/15,1.15,619509.33,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0,conventional,2015,BaltimoreWashington,MidSouth,712435.7295
108,108,3,12/6/15,1.04,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0,conventional,2015,BaltimoreWashington,MidSouth,675106.9
109,109,4,11/29/15,1.16,545800.05,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0,conventional,2015,BaltimoreWashington,MidSouth,633128.058
110,110,5,11/22/15,1.12,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0,conventional,2015,BaltimoreWashington,MidSouth,640662.176
111,111,6,11/15/15,1.04,718330.48,47109.75,503470.08,37990.29,129760.36,125297.67,4462.69,0,conventional,2015,BaltimoreWashington,MidSouth,747063.6992
112,112,7,11/8/15,1.05,830967.23,58579.27,576512.71,51035.04,144840.21,138777.63,6062.58,0,conventional,2015,BaltimoreWashington,MidSouth,872515.5915
113,113,8,11/1/15,1.12,742220.67,51860.07,473819.14,58615.76,157925.7,152716.4,5209.3,0,conventional,2015,BaltimoreWashington,MidSouth,831287.1504
114,114,9,10/25/15,1.19,656892.03,53766.25,397911.35,49085.74,156128.69,149987.55,6141.14,0,conventional,2015,BaltimoreWashington,MidSouth,781701.5157
115,115,10,10/18/15,0.99,1005603.78,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0,conventional,2015,BaltimoreWashington,MidSouth,995547.7422
116,116,11,10/11/15,1.24,653560.14,34707.02,392008.6,58490.1,168354.42,163669.01,4685.41,0,conventional,2015,BaltimoreWashington,MidSouth,810414.5736
117,117,12,10/4/15,1.28,657444.04,35342.34,407609.95,42257.73,172234.02,167494.61,4739.41,0,conventional,2015,BaltimoreWashington,MidSouth,841528.3712
118,118,13,9/27/15,1.19,696281.81,34309.05,451061.03,59018.61,151893.12,146792.81,5100.31,0,conventional,2015,BaltimoreWashington,MidSouth,828575.3539
119,119,14,9/20/15,1.17,709268.62,39619.87,450283.01,45336.12,174029.62,168889.78,5139.84,0,conventional,2015,BaltimoreWashington,MidSouth,829844.2854
120,120,15,9/13/15,1.09,924993.61,55699.25,675524.33,42270.47,151499.56,145686.02,5813.54,0,conventional,2015,BaltimoreWashington,MidSouth,1008243.035
121,121,16,9/6/15,1.18,823623.36,63903.73,522568.44,68180.35,168970.84,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington,MidSouth,971875.5648
122,122,17,8/30/15,1.24,734721.29,48455.25,458207.46,42754.34,185304.24,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington,MidSouth,911054.3996
123,123,18,8/23/15,1.16,783935.36,59242.02,499100.39,47216.18,178376.77,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington,MidSouth,909365.0176
124,124,19,8/16/15,1.14,882754.72,86492.03,597184.73,43102.61,155975.35,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington,MidSouth,1006340.381
125,125,20,8/9/15,1.16,821523.45,56362.75,557363.94,42933.87,164862.89,161564.81,3298.08,0,conventional,2015,BaltimoreWashington,MidSouth,952967.202
126,126,21,8/2/15,1.17,800603.23,53957.63,535167.1,44749.58,166728.92,163667.68,3061.24,0,conventional,2015,BaltimoreWashington,MidSouth,936705.7791
127,127,22,7/26/15,1.2,772926.12,52746.41,496508.65,45010.81,178660.25,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington,MidSouth,927511.344
128,128,23,7/19/15,1.18,800194.34,52954.94,496206.47,50319.84,200713.09,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington,MidSouth,944229.3212
129,129,24,7/12/15,1.1,850931.58,58827.99,547537.41,50679.01,193887.17,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington,MidSouth,936024.738
130,130,25,7/5/15,1.16,896298.77,66504.67,567640.7,56044.51,206108.89,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington,MidSouth,1039706.573
131,131,26,6/28/15,1.15,862261.64,65051.95,534535.21,51109.85,211564.63,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington,MidSouth,991600.886
132,132,27,6/21/15,1.16,862840.73,58398.76,527866.5,51952.74,224622.73,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington,MidSouth,1000895.247
133,133,28,6/14/15,1.09,955046.82,64005.15,593499.63,48344.86,249197.18,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington,MidSouth,1041001.034
134,134,29,6/7/15,1.26,794310.29,62585.45,462951.05,43720.95,225052.84,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington,MidSouth,1000830.965
135,135,30,5/31/15,1.19,949177.06,67744.84,617813.87,45832.8,217785.55,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington,MidSouth,1129520.701
136,136,31,5/24/15,1.18,908661.83,63610.12,560740.03,49808.51,234503.17,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington,MidSouth,1072220.959
137,137,32,5/17/15,1.27,790853.86,63515.06,455166.65,44840.98,227331.17,222163.1,5152.19,15.88,conventional,2015,BaltimoreWashington,MidSouth,1004384.402
138,138,33,5/10/15,1.26,855205.82,79192.07,507104.15,44390.54,224519.06,215572.03,8947.03,0,conventional,2015,BaltimoreWashington,MidSouth,1077559.333
139,139,34,5/3/15,1.17,896972.05,73038.46,536709.99,77537.43,209686.17,201874.28,7767.45,44.44,conventional,2015,BaltimoreWashington,MidSouth,1049457.299
140,140,35,4/26/15,1.29,747841.09,58013.85,431532.87,39942.57,218351.8,212064.73,6184.29,102.78,conventional,2015,BaltimoreWashington,MidSouth,964715.0061
141,141,36,4/19/15,1.28,762862.62,67486.78,427623.27,42125.28,225627.29,219885.88,5741.41,0,conventional,2015,BaltimoreWashington,MidSouth,976464.1536
142,142,37,4/12/15,1.15,837629.62,70796.72,523170.13,42270.76,201392.01,196076.34,5315.67,0,conventional,2015,BaltimoreWashington,MidSouth,963274.063
143,143,38,4/5/15,1.29,688065.45,53579.17,401279.47,41867.08,191339.73,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington,MidSouth,887604.4305
144,144,39,3/29/15,1.25,663677.32,58098.15,398050.87,43759.68,163768.62,158964.08,4804.54,0,conventional,2015,BaltimoreWashington,MidSouth,829596.65
145,145,40,3/22/15,1.1,808897.21,65158.96,524971.24,42381.39,176385.62,171699.95,4685.67,0,conventional,2015,BaltimoreWashington,MidSouth,889786.931
146,146,41,3/15/15,1.24,693698.13,53400.14,395837.01,46596.22,197864.76,193130.9,4733.86,0,conventional,2015,BaltimoreWashington,MidSouth,860185.6812
147,147,42,3/8/15,1.26,657745.9,55284.8,367670.93,42267.91,192522.26,188374.49,4147.77,0,conventional,2015,BaltimoreWashington,MidSouth,828759.834
148,148,43,3/1/15,1.16,770115.24,59039.85,498872.67,40241.65,171961.07,168224.2,3736.87,0,conventional,2015,BaltimoreWashington,MidSouth,893333.6784
149,149,44,2/22/15,1.11,749845.79,50501.07,445970.56,62611.61,190762.55,186976.97,3785.58,0,conventional,2015,BaltimoreWashington,MidSouth,832328.8269
150,150,45,2/15/15,1.25,637319.34,49751.74,361677.37,45900.05,179990.18,174864.87,5125.31,0,conventional,2015,BaltimoreWashington,MidSouth,796649.175
151,151,46,2/8/15,1.09,844931.21,71703.52,554857.41,37437.32,180932.96,175771.39,5161.57,0,conventional,2015,BaltimoreWashington,MidSouth,920975.0189
152,152,47,2/1/15,1.06,1007418.76,93166.54,666010.38,83652.48,164589.36,159916.87,4672.49,0,conventional,2015,BaltimoreWashington,MidSouth,1067863.886
153,153,48,1/25/15,1.2,692934.46,49696.14,386398.73,39488.95,217350.64,209761.81,7588.83,0,conventional,2015,BaltimoreWashington,MidSouth,831521.352
154,154,49,1/18/15,1.23,657741.34,49947.16,393359.6,40576.08,173858.5,169390.88,4467.62,0,conventional,2015,BaltimoreWashington,MidSouth,809021.8482
155,155,50,1/11/15,1.17,670231.94,51460.64,420837.82,42526.96,155406.52,151330.87,4075.65,0,conventional,2015,BaltimoreWashington,MidSouth,784171.3698
156,156,51,1/4/15,1.08,788025.06,53987.31,552906.04,39995.03,141136.68,137146.07,3990.61,0,conventional,2015,BaltimoreWashington,MidSouth,851067.0648
157,157,0,12/27/15,0.97,62909.69,30482.25,2971.94,5894.4,23561.1,23520.19,5.69,35.22,conventional,2015,Boise,West,61022.3993
158,158,1,12/20/15,1.03,57504.05,25628.22,2546.09,7393.84,21935.9,21900.35,11.43,24.12,conventional,2015,Boise,West,59229.1715
159,159,2,12/13/15,0.99,58461.05,27148.61,2985.73,6458.44,21868.27,21842.87,4.44,20.96,conventional,2015,Boise,West,57876.4395
160,160,3,12/6/15,0.71,95295.34,35590.98,12526.5,4086.26,43091.6,42734.53,0,357.07,conventional,2015,Boise,West,67659.6914
161,161,4,11/29/15,1.06,49069.13,24189.98,2789.67,6031.49,16057.99,15860.63,0,197.36,conventional,2015,Boise,West,52013.2778
162,162,5,11/22/15,1.09,52875.58,25408.86,3255.97,6662.8,17547.95,17530.67,4.32,12.96,conventional,2015,Boise,West,57634.3822
163,163,6,11/15/15,1.01,68648.22,24424.72,12085.72,6502.37,25635.41,25200.25,8.65,426.51,conventional,2015,Boise,West,69334.7022
164,164,7,11/8/15,1.11,55847.79,31910.27,4651.88,6285.73,12999.91,12777.83,119.79,102.29,conventional,2015,Boise,West,61991.0469
165,165,8,11/1/15,1.14,53585.51,30434.99,4359.52,6428.27,12362.73,12331.82,0,30.91,conventional,2015,Boise,West,61087.4814
166,166,9,10/25/15,1.11,59874.45,29521.58,10089.82,6551.57,13711.48,13660.98,0,50.5,conventional,2015,Boise,West,66460.6395
167,167,10,10/18/15,1.16,54191.14,29614.23,9069.38,6586.27,8921.26,8918,0,3.26,conventional,2015,Boise,West,62861.7224
168,168,11,10/11/15,0.94,80904.19,26114.19,33415.88,7604.48,13769.64,13543.47,185.46,40.71,conventional,2015,Boise,West,76049.9386
169,169,12,10/4/15,1.12,59496.33,35154.43,10821.85,7551.63,5968.42,5462.15,504.65,1.62,conventional,2015,Boise,West,66635.8896
170,170,13,9/27/15,0.99,64187.8,47007.35,5754.04,3663.3,7763.11,7596.64,160,6.47,conventional,2015,Boise,West,63545.922
171,171,14,9/20/15,1.03,73952.9,34826.9,21592.13,6640.07,10893.8,10601.02,273.41,19.37,conventional,2015,Boise,West,76171.487
172,172,15,9/13/15,1.08,64208.84,45738.83,4393.9,6593.46,7482.65,7482.65,0,0,conventional,2015,Boise,West,69345.5472
173,173,16,9/6/15,1.16,64464.61,44134.65,5402.17,7991.75,6936.04,6934.43,0,1.61,conventional,2015,Boise,West,74778.9476
174,174,17,8/30/15,1.19,60099.83,40926.77,5809.92,7922.58,5440.56,5440.56,0,0,conventional,2015,Boise,West,71518.7977
175,175,18,8/23/15,1.05,70773.76,44059.22,14861.33,4433.12,7420.09,7420.09,0,0,conventional,2015,Boise,West,74312.448
176,176,19,8/16/15,1.12,64001.61,46189.28,5258.21,6457.21,6096.91,6090.51,0,6.4,conventional,2015,Boise,West,71681.8032
177,177,20,8/9/15,1.1,61286.98,44739.54,5034,3931.19,7582.25,7568.92,13.33,0,conventional,2015,Boise,West,67415.678
178,178,21,8/2/15,1.07,67763.91,51151.27,5140.89,5435.36,6036.39,5987.5,48.89,0,conventional,2015,Boise,West,72507.3837
179,179,22,7/26/15,1.07,67826.07,50978.38,4856.27,5479.57,6511.85,6358.04,153.81,0,conventional,2015,Boise,West,72573.8949
180,180,23,7/19/15,1.09,63958.04,45921.6,5300.3,5565.17,7170.97,6354.45,816.52,0,conventional,2015,Boise,West,69714.2636
181,181,24,7/12/15,1.05,74677.72,51828.75,5802.65,7474.4,9571.92,8335.04,1236.88,0,conventional,2015,Boise,West,78411.606
