PassengerId,Name,Survived,Pclass,Sex,SibSp,ParCh,Fare,Embarked
83,"McDermott, Miss. Brigdet Delia",1,3,female,0,0,7.7875,Q
84,"Carrau, Mr. Francisco M",0,1,male,0,0,47.1,S
85,"Ilett, Miss. Bertha",1,2,female,0,0,10.5,S
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,3,female,3,0,15.85,S
87,"Ford, Mr. William Neal",0,3,male,1,3,34.375,S
88,"Slocovski, Mr. Selman Francis",0,3,male,0,0,8.05,S
89,"Fortune, Miss. Mabel Helen",1,1,female,3,2,263,S
90,"Celotti, Mr. Francesco",0,3,male,0,0,8.05,S
91,"Christmann, Mr. Emil",0,3,male,0,0,8.05,S
92,"Andreasson, Mr. Paul Edvin",0,3,male,0,0,7.8542,S
93,"Chaffee, Mr. Herbert Fuller",0,1,male,1,0,61.175,S
94,"Dean, Mr. Bertram Frank",0,3,male,1,2,20.575,S
95,"Coxon, Mr. Daniel",0,3,male,0,0,7.25,S
96,"Shorney, Mr. Charles Joseph",0,3,male,0,0,8.05,S
97,"Goldschmidt, Mr. George B",0,1,male,0,0,34.6542,C
98,"Greenfield, Mr. William Bertram",1,1,male,0,1,63.3583,C
99,"Doling, Mrs. John T (Ada Julia Bone)",1,2,female,0,1,23,S
100,"Kantor, Mr. Sinai",0,2,male,1,0,26,S
101,"Petranec, Miss. Matilda",0,3,female,0,0,7.8958,S
102,"Petroff, Mr. Pastcho (""Pentcho"")",0,3,male,0,0,7.8958,S
103,"White, Mr. Richard Frasar",0,1,male,0,1,77.2875,S
104,"Johansson, Mr. Gustaf Joel",0,3,male,0,0,8.6542,S
105,"Gustafsson, Mr. Anders Vilhelm",0,3,male,2,0,7.925,S
106,"Mionoff, Mr. Stoytcho",0,3,male,0,0,7.8958,S
107,"Salkjelsvik, Miss. Anna Kristine",1,3,female,0,0,7.65,S
108,"Moss, Mr. Albert Johan",1,3,male,0,0,7.775,S
109,"Rekic, Mr. Tido",0,3,male,0,0,7.8958,S
110,"Moran, Miss. Bertha",1,3,female,1,0,24.15,Q
111,"Porter, Mr. Walter Chamberlain",0,1,male,0,0,52,S
112,"Zabour, Miss. Hileni",0,3,female,1,0,14.4542,C
113,"Barton, Mr. David John",0,3,male,0,0,8.05,S
114,"Jussila, Miss. Katriina",0,3,female,1,0,9.825,S
115,"Attalah, Miss. Malake",0,3,female,0,0,14.4583,C
116,"Pekoniemi, Mr. Edvard",0,3,male,0,0,7.925,S
117,"Connors, Mr. Patrick",0,3,male,0,0,7.75,Q
118,"Turpin, Mr. William John Robert",0,2,male,1,0,21,S
119,"Baxter, Mr. Quigg Edmond",0,1,male,0,1,247.5208,C
120,"Andersson, Miss. Ellis Anna Maria",0,3,female,4,2,31.275,S
121,"Hickman, Mr. Stanley George",0,2,male,2,0,73.5,S
122,"Moore, Mr. Leonard Charles",0,3,male,0,0,8.05,S
123,"Nasser, Mr. Nicholas",0,2,male,1,0,30.0708,C
124,"Webber, Miss. Susan",1,2,female,0,0,13,S
125,"White, Mr. Percival Wayland",0,1,male,0,1,77.2875,S
126,"Nicola-Yarred, Master. Elias",1,3,male,1,0,11.2417,C
127,"McMahon, Mr. Martin",0,3,male,0,0,7.75,Q
128,"Madsen, Mr. Fridtjof Arne",1,3,male,0,0,7.1417,S
129,"Peter, Miss. Anna",1,3,female,1,1,22.3583,C
130,"Ekstrom, Mr. Johan",0,3,male,0,0,6.975,S
131,"Drazenoic, Mr. Jozef",0,3,male,0,0,7.8958,C
132,"Coelho, Mr. Domingos Fernandeo",0,3,male,0,0,7.05,S
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,3,female,1,0,14.5,S
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,2,female,1,0,26,S
135,"Sobey, Mr. Samuel James Hayden",0,2,male,0,0,13,S
136,"Richard, Mr. Emile",0,2,male,0,0,15.0458,C
137,"Newsom, Miss. Helen Monypeny",1,1,female,0,2,26.2833,S
138,"Futrelle, Mr. Jacques Heath",0,1,male,1,0,53.1,S
139,"Osen, Mr. Olaf Elon",0,3,male,0,0,9.2167,S
140,"Giglio, Mr. Victor",0,1,male,0,0,79.2,C
141,"Boulos, Mrs. Joseph (Sultana)",0,3,female,0,2,15.2458,C
142,"Nysten, Miss. Anna Sofia",1,3,female,0,0,7.75,S
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,3,female,1,0,15.85,S
144,"Burke, Mr. Jeremiah",0,3,male,0,0,6.75,Q
145,"Andrew, Mr. Edgardo Samuel",0,2,male,0,0,11.5,S
146,"Nicholls, Mr. Joseph Charles",0,2,male,1,1,36.75,S
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,3,male,0,0,7.7958,S
148,"Ford, Miss. Robina Maggie ""Ruby""",0,3,female,2,2,34.375,S
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,2,male,0,2,26,S
150,"Byles, Rev. Thomas Roussel Davids",0,2,male,0,0,13,S
151,"Bateman, Rev. Robert James",0,2,male,0,0,12.525,S
152,"Pears, Mrs. Thomas (Edith Wearne)",1,1,female,1,0,66.6,S
153,"Meo, Mr. Alfonzo",0,3,male,0,0,8.05,S
154,"van Billiard, Mr. Austin Blyler",0,3,male,0,2,14.5,S
155,"Olsen, Mr. Ole Martin",0,3,male,0,0,7.3125,S
156,"Williams, Mr. Charles Duane",0,1,male,0,1,61.3792,C
157,"Gilnagh, Miss. Katherine ""Katie""",1,3,female,0,0,7.7333,Q
158,"Corn, Mr. Harry",0,3,male,0,0,8.05,S
159,"Smiljanic, Mr. Mile",0,3,male,0,0,8.6625,S
160,"Sage, Master. Thomas Henry",0,3,male,8,2,69.55,S
161,"Cribb, Mr. John Hatfield",0,3,male,0,1,16.1,S
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,2,female,0,0,15.75,S
163,"Bengtsson, Mr. John Viktor",0,3,male,0,0,7.775,S
164,"Calic, Mr. Jovo",0,3,male,0,0,8.6625,S
165,"Panula, Master. Eino Viljami",0,3,male,4,1,39.6875,S
166,"Goldsmith, Master. Frank John William ""Frankie""",1,3,male,0,2,20.525,S
167,"Chibnall, Mrs. (Edith Martha Bowerman)",1,1,female,0,1,55,S
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,3,female,1,4,27.9,S
169,"Baumann, Mr. John D",0,1,male,0,0,25.925,S
170,"Ling, Mr. Lee",0,3,male,0,0,56.4958,S
171,"Van der hoef, Mr. Wyckoff",0,1,male,0,0,33.5,S
172,"Rice, Master. Arthur",0,3,male,4,1,29.125,Q
173,"Johnson, Miss. Eleanor Ileen",1,3,female,1,1,11.1333,S
174,"Sivola, Mr. Antti Wilhelm",0,3,male,0,0,7.925,S
175,"Smith, Mr. James Clinch",0,1,male,0,0,30.6958,C
176,"Klasen, Mr. Klas Albin",0,3,male,1,1,7.8542,S
177,"Lefebre, Master. Henry Forbes",0,3,male,3,1,25.4667,S
178,"Isham, Miss. Ann Elizabeth",0,1,female,0,0,28.7125,C
179,"Hale, Mr. Reginald",0,2,male,0,0,13,S
180,"Leonard, Mr. Lionel",0,3,male,0,0,0,S
181,"Sage, Miss. Constance Gladys",0,3,female,8,2,69.55,S
182,"Pernot, Mr. Rene",0,2,male,0,0,15.05,C
183,"Asplund, Master. Clarence Gustaf Hugo",0,3,male,4,2,31.3875,S
184,"Becker, Master. Richard F",1,2,male,2,1,39,S
185,"Kink-Heilmann, Miss. Luise Gretchen",1,3,female,0,2,22.025,S
186,"Rood, Mr. Hugh Roscoe",0,1,male,0,0,50,S
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,3,female,1,0,15.5,Q
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,1,male,0,0,26.55,S
189,"Bourke, Mr. John",0,3,male,1,1,15.5,Q
190,"Turcin, Mr. Stjepan",0,3,male,0,0,7.8958,S
191,"Pinsky, Mrs. (Rosa)",1,2,female,0,0,13,S
192,"Carbines, Mr. William",0,2,male,0,0,13,S
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,3,female,1,0,7.8542,S
194,"Navratil, Master. Michel M",1,2,male,1,1,26,S
195,"Brown, Mrs. James Joseph (Margaret Tobin)",1,1,female,0,0,27.7208,C
196,"Lurette, Miss. Elise",1,1,female,0,0,146.5208,C
197,"Mernagh, Mr. Robert",0,3,male,0,0,7.75,Q
198,"Olsen, Mr. Karl Siegwart Andreas",0,3,male,0,1,8.4042,S
199,"Madigan, Miss. Margaret ""Maggie""",1,3,female,0,0,7.75,Q
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",0,2,female,0,0,13,S
201,"Vande Walle, Mr. Nestor Cyriel",0,3,male,0,0,9.5,S
202,"Sage, Mr. Frederick",0,3,male,8,2,69.55,S
203,"Johanson, Mr. Jakob Alfred",0,3,male,0,0,6.4958,S
204,"Youseff, Mr. Gerious",0,3,male,0,0,7.225,C
205,"Cohen, Mr. Gurshon ""Gus""",1,3,male,0,0,8.05,S
206,"Strom, Miss. Telma Matilda",0,3,female,0,1,10.4625,S
207,"Backstrom, Mr. Karl Alfred",0,3,male,1,0,15.85,S
208,"Albimona, Mr. Nassef Cassem",1,3,male,0,0,18.7875,C
209,"Carr, Miss. Helen ""Ellen""",1,3,female,0,0,7.75,Q
210,"Blank, Mr. Henry",1,1,male,0,0,31,C
211,"Ali, Mr. Ahmed",0,3,male,0,0,7.05,S
212,"Cameron, Miss. Clear Annie",1,2,female,0,0,21,S
213,"Perkin, Mr. John Henry",0,3,male,0,0,7.25,S
214,"Givard, Mr. Hans Kristensen",0,2,male,0,0,13,S
215,"Kiernan, Mr. Philip",0,3,male,1,0,7.75,Q
216,"Newell, Miss. Madeleine",1,1,female,1,0,113.275,C
217,"Honkanen, Miss. Eliina",1,3,female,0,0,7.925,S
218,"Jacobsohn, Mr. Sidney Samuel",0,2,male,1,0,27,S
219,"Bazzani, Miss. Albina",1,1,female,0,0,76.2917,C
220,"Harris, Mr. Walter",0,2,male,0,0,10.5,S
221,"Sunderland, Mr. Victor Francis",1,3,male,0,0,8.05,S
222,"Bracken, Mr. James H",0,2,male,0,0,13,S
223,"Green, Mr. George Henry",0,3,male,0,0,8.05,S
224,"Nenkoff, Mr. Christo",0,3,male,0,0,7.8958,S
225,"Hoyt, Mr. Frederick Maxfield",1,1,male,1,0,90,S
226,"Berglund, Mr. Karl Ivar Sven",0,3,male,0,0,9.35,S
227,"Mellors, Mr. William John",1,2,male,0,0,10.5,S
228,"Lovell, Mr. John Hall (""Henry"")",0,3,male,0,0,7.25,S
229,"Fahlstrom, Mr. Arne Jonas",0,2,male,0,0,13,S
230,"Lefebre, Miss. Mathilde",0,3,female,3,1,25.4667,S
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,1,female,1,0,83.475,S
232,"Larsson, Mr. Bengt Edvin",0,3,male,0,0,7.775,S
233,"Sjostedt, Mr. Ernst Adolf",0,2,male,0,0,13.5,S
234,"Asplund, Miss. Lillian Gertrud",1,3,female,4,2,31.3875,S
235,"Leyson, Mr. Robert William Norman",0,2,male,0,0,10.5,S
236,"Harknett, Miss. Alice Phoebe",0,3,female,0,0,7.55,S
237,"Hold, Mr. Stephen",0,2,male,1,0,26,S
238,"Collyer, Miss. Marjorie ""Lottie""",1,2,female,0,2,26.25,S
239,"Pengelly, Mr. Frederick William",0,2,male,0,0,10.5,S
240,"Hunt, Mr. George Henry",0,2,male,0,0,12.275,S
241,"Zabour, Miss. Thamine",0,3,female,1,0,14.4542,C
242,"Murphy, Miss. Katherine ""Kate""",1,3,female,1,0,15.5,Q
243,"Coleridge, Mr. Reginald Charles",0,2,male,0,0,10.5,S
244,"Maenpaa, Mr. Matti Alexanteri",0,3,male,0,0,7.125,S
245,"Attalah, Mr. Sleiman",0,3,male,0,0,7.225,C
246,"Minahan, Dr. William Edward",0,1,male,2,0,90,Q
247,"Lindahl, Miss. Agda Thorilda Viktoria",0,3,female,0,0,7.775,S
248,"Hamalainen, Mrs. William (Anna)",1,2,female,0,2,14.5,S
249,"Beckwith, Mr. Richard Leonard",1,1,male,1,1,52.5542,S
250,"Carter, Rev. Ernest Courtenay",0,2,male,1,0,26,S
251,"Reed, Mr. James George",0,3,male,0,0,7.25,S
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,3,female,1,1,10.4625,S
253,"Stead, Mr. William Thomas",0,1,male,0,0,26.55,S
254,"Lobb, Mr. William Arthur",0,3,male,1,0,16.1,S
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,3,female,0,2,20.2125,S
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,3,female,0,2,15.2458,C
257,"Thorne, Mrs. Gertrude Maybelle",1,1,female,0,0,79.2,C
258,"Cherry, Miss. Gladys",1,1,female,0,0,86.5,S
259,"Ward, Miss. Anna",1,1,female,0,0,512.3292,C
260,"Parrish, Mrs. (Lutie Davis)",1,2,female,0,1,26,S
261,"Smith, Mr. Thomas",0,3,male,0,0,7.75,Q
262,"Asplund, Master. Edvin Rojj Felix",1,3,male,4,2,31.3875,S
263,"Taussig, Mr. Emil",0,1,male,1,1,79.65,S
264,"Harrison, Mr. William",0,1,male,0,0,0,S
265,"Henry, Miss. Delia",0,3,female,0,0,7.75,Q
266,"Reeves, Mr. David",0,2,male,0,0,10.5,S
267,"Panula, Mr. Ernesti Arvid",0,3,male,4,1,39.6875,S
268,"Persson, Mr. Ernst Ulrik",1,3,male,1,0,7.775,S
269,"Graham, Mrs. William Thompson (Edith Junkins)",1,1,female,0,1,153.4625,S
270,"Bissette, Miss. Amelia",1,1,female,0,0,135.6333,S
271,"Cairns, Mr. Alexander",0,1,male,0,0,31,S
272,"Tornquist, Mr. William Henry",1,3,male,0,0,0,S
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",1,2,female,0,1,19.5,S
274,"Natsch, Mr. Charles H",0,1,male,0,1,29.7,C
275,"Healy, Miss. Hanora ""Nora""",1,3,female,0,0,7.75,Q
276,"Andrews, Miss. Kornelia Theodosia",1,1,female,1,0,77.9583,S
277,"Lindblom, Miss. Augusta Charlotta",0,3,female,0,0,7.75,S
278,"Parkes, Mr. Francis ""Frank""",0,2,male,0,0,0,S
279,"Rice, Master. Eric",0,3,male,4,1,29.125,Q
280,"Abbott, Mrs. Stanton (Rosa Hunt)",1,3,female,1,1,20.25,S
281,"Duane, Mr. Frank",0,3,male,0,0,7.75,Q
282,"Olsson, Mr. Nils Johan Goransson",0,3,male,0,0,7.8542,S
283,"de Pelsmaeker, Mr. Alfons",0,3,male,0,0,9.5,S
284,"Dorking, Mr. Edward Arthur",1,3,male,0,0,8.05,S
285,"Smith, Mr. Richard William",0,1,male,0,0,26,S
286,"Stankovic, Mr. Ivan",0,3,male,0,0,8.6625,C
287,"de Mulder, Mr. Theodore",1,3,male,0,0,9.5,S
288,"Naidenoff, Mr. Penko",0,3,male,0,0,7.8958,S
289,"Hosono, Mr. Masabumi",1,2,male,0,0,13,S
290,"Connolly, Miss. Kate",1,3,female,0,0,7.75,Q
291,"Barber, Miss. Ellen ""Nellie""",1,1,female,0,0,78.85,S
292,"Bishop, Mrs. Dickinson H (Helen Walton)",1,1,female,1,0,91.0792,C
293,"Levy, Mr. Rene Jacques",0,2,male,0,0,12.875,C
294,"Haas, Miss. Aloisia",0,3,female,0,0,8.85,S
295,"Mineff, Mr. Ivan",0,3,male,0,0,7.8958,S
296,"Lewy, Mr. Ervin G",0,1,male,0,0,27.7208,C
297,"Hanna, Mr. Mansour",0,3,male,0,0,7.2292,C
298,"Allison, Miss. Helen Loraine",0,1,female,1,2,151.55,S
299,"Saalfeld, Mr. Adolphe",1,1,male,0,0,30.5,S
300,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,1,female,0,1,247.5208,C
301,"Kelly, Miss. Anna Katherine ""Annie Kate""",1,3,female,0,0,7.75,Q
302,"McCoy, Mr. Bernard",1,3,male,2,0,23.25,Q
303,"Johnson, Mr. William Cahoone Jr",0,3,male,0,0,0,S
304,"Keane, Miss. Nora A",1,2,female,0,0,12.35,Q
305,"Williams, Mr. Howard Hugh ""Harry""",0,3,male,0,0,8.05,S
306,"Allison, Master. Hudson Trevor",1,1,male,1,2,151.55,S
307,"Fleming, Miss. Margaret",1,1,female,0,0,110.8833,C
308,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,1,female,1,0,108.9,C
309,"Abelson, Mr. Samuel",0,2,male,1,0,24,C
310,"Francatelli, Miss. Laura Mabel",1,1,female,0,0,56.9292,C
311,"Hays, Miss. Margaret Bechstein",1,1,female,0,0,83.1583,C
312,"Ryerson, Miss. Emily Borie",1,1,female,2,2,262.375,C
313,"Lahtinen, Mrs. William (Anna Sylfven)",0,2,female,1,1,26,S
314,"Hendekovic, Mr. Ignjac",0,3,male,0,0,7.8958,S
315,"Hart, Mr. Benjamin",0,2,male,1,1,26.25,S
316,"Nilsson, Miss. Helmina Josefina",1,3,female,0,0,7.8542,S
317,"Kantor, Mrs. Sinai (Miriam Sternin)",1,2,female,1,0,26,S
318,"Moraweck, Dr. Ernest",0,2,male,0,0,14,S
319,"Wick, Miss. Mary Natalie",1,1,female,0,2,164.8667,S
320,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,1,female,1,1,134.5,C
321,"Dennis, Mr. Samuel",0,3,male,0,0,7.25,S
322,"Danoff, Mr. Yoto",0,3,male,0,0,7.8958,S
323,"Slayter, Miss. Hilda Mary",1,2,female,0,0,12.35,Q
324,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",1,2,female,1,1,29,S
325,"Sage, Mr. George John Jr",0,3,male,8,2,69.55,S
326,"Young, Miss. Marie Grice",1,1,female,0,0,135.6333,C
327,"Nysveen, Mr. Johan Hansen",0,3,male,0,0,6.2375,S
328,"Ball, Mrs. (Ada E Hall)",1,2,female,0,0,13,S
329,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",1,3,female,1,1,20.525,S
330,"Hippach, Miss. Jean Gertrude",1,1,female,0,1,57.9792,C
331,"McCoy, Miss. Agnes",1,3,female,2,0,23.25,Q
332,"Partner, Mr. Austen",0,1,male,0,0,28.5,S
333,"Graham, Mr. George Edward",0,1,male,0,1,153.4625,S
334,"Vander Planke, Mr. Leo Edmondus",0,3,male,2,0,18,S
335,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,1,female,1,0,133.65,S
336,"Denkoff, Mr. Mitto",0,3,male,0,0,7.8958,S
337,"Pears, Mr. Thomas Clinton",0,1,male,1,0,66.6,S
338,"Burns, Miss. Elizabeth Margaret",1,1,female,0,0,134.5,C
339,"Dahl, Mr. Karl Edwart",1,3,male,0,0,8.05,S
340,"Blackwell, Mr. Stephen Weart",0,1,male,0,0,35.5,S
341,"Navratil, Master. Edmond Roger",1,2,male,1,1,26,S
342,"Fortune, Miss. Alice Elizabeth",1,1,female,3,2,263,S
343,"Collander, Mr. Erik Gustaf",0,2,male,0,0,13,S
344,"Sedgwick, Mr. Charles Frederick Waddington",0,2,male,0,0,13,S
345,"Fox, Mr. Stanley Hubert",0,2,male,0,0,13,S
346,"Brown, Miss. Amelia ""Mildred""",1,2,female,0,0,13,S
347,"Smith, Miss. Marion Elsie",1,2,female,0,0,13,S
348,"Davison, Mrs. Thomas Henry (Mary E Finck)",1,3,female,1,0,16.1,S
349,"Coutts, Master. William Loch ""William""",1,3,male,1,1,15.9,S
350,"Dimic, Mr. Jovan",0,3,male,0,0,8.6625,S
351,"Odahl, Mr. Nils Martin",0,3,male,0,0,9.225,S
352,"Williams-Lambert, Mr. Fletcher Fellows",0,1,male,0,0,35,S
353,"Elias, Mr. Tannous",0,3,male,1,1,7.2292,C
354,"Arnold-Franchi, Mr. Josef",0,3,male,1,0,17.8,S
355,"Yousif, Mr. Wazli",0,3,male,0,0,7.225,C
356,"Vanden Steen, Mr. Leo Peter",0,3,male,0,0,9.5,S
357,"Bowerman, Miss. Elsie Edith",1,1,female,0,1,55,S
358,"Funk, Miss. Annie Clemmer",0,2,female,0,0,13,S
359,"McGovern, Miss. Mary",1,3,female,0,0,7.8792,Q
360,"Mockler, Miss. Helen Mary ""Ellie""",1,3,female,0,0,7.8792,Q
361,"Skoog, Mr. Wilhelm",0,3,male,1,4,27.9,S
362,"del Carlo, Mr. Sebastiano",0,2,male,1,0,27.7208,C
363,"Barbara, Mrs. (Catherine David)",0,3,female,0,1,14.4542,C
364,"Asim, Mr. Adola",0,3,male,0,0,7.05,S
365,"O'Brien, Mr. Thomas",0,3,male,1,0,15.5,Q
366,"Adahl, Mr. Mauritz Nils Martin",0,3,male,0,0,7.25,S
367,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,female,1,0,75.25,C
368,"Moussa, Mrs. (Mantoura Boulos)",1,3,female,0,0,7.2292,C
369,"Jermyn, Miss. Annie",1,3,female,0,0,7.75,Q
370,"Aubart, Mme. Leontine Pauline",1,1,female,0,0,69.3,C
371,"Harder, Mr. George Achilles",1,1,male,1,0,55.4417,C
372,"Wiklund, Mr. Jakob Alfred",0,3,male,1,0,6.4958,S
373,"Beavan, Mr. William Thomas",0,3,male,0,0,8.05,S
374,"Ringhini, Mr. Sante",0,1,male,0,0,135.6333,C
375,"Palsson, Miss. Stina Viola",0,3,female,3,1,21.075,S
376,"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,1,female,1,0,82.1708,C
